circuit_id,name,lat,long,locality,country
silverstone,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK
monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco
indianapolis,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA
bremgarten,Circuit Bremgarten,46.9589,7.40194,Bern,Switzerland
spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium
reims,Reims-Gueux,49.2542,3.93083,Reims,France
monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy
nurburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany
pedralbes,Circuit de Pedralbes,41.3903,2.11667,Barcelona,Spain
essarts,Rouen-Les-Essarts,49.3306,1.00458,Rouen,France
zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands
galvez,Autódromo Juan y Oscar Gálvez,-34.6943,-58.4593,Buenos Aires,Argentina
aintree,Aintree,53.4769,-2.94056,Liverpool,UK
pescara,Pescara Circuit,42.475,14.1508,Pescara,Italy
boavista,Circuito da Boavista,41.1705,-8.67325,Oporto,Portugal
ain-diab,Ain Diab,33.5786,-7.6875,Casablanca,Morocco
avus,AVUS,52.4806,13.2514,Berlin,Germany
monsanto,Monsanto Park Circuit,38.7197,-9.20306,Lisbon,Portugal
sebring,Sebring International Raceway,27.4547,-81.3483,Florida,USA
riverside,Riverside International Raceway,33.937,-117.273,California,USA
watkins_glen,Watkins Glen,42.3369,-76.9272,New York State,USA
george,Prince George Circuit,-33.0486,27.8736,Eastern Cape Province,South Africa
rodriguez,Autódromo Hermanos Rodríguez,19.4042,-99.0907,Mexico City,Mexico
brands_hatch,Brands Hatch,51.3569,0.263056,Kent,UK
zeltweg,Zeltweg,47.2039,14.7478,Styria,Austria
charade,Charade Circuit,45.7472,3.03889,Clermont-Ferrand,France
kyalami,Kyalami,-25.9894,28.0767,Midrand,South Africa
lemans,Le Mans,47.95,0.224231,Le Mans,France
mosport,Mosport International Raceway,44.0481,-78.6756,Ontario,Canada
jarama,Jarama,40.6171,-3.58558,Madrid,Spain
tremblant,Circuit Mont-Tremblant,46.1877,-74.6099,Quebec,Canada
montjuic,Montjuïc,41.3664,2.15167,Barcelona,Spain
hockenheimring,Hockenheimring,49.3278,8.56583,Hockenheim,Germany
red_bull_ring,Red Bull Ring,47.2197,14.7647,Spielberg,Austria
ricard,Circuit Paul Ricard,43.2506,5.79167,Le Castellet,France
nivelles,Nivelles-Baulers,50.6211,4.32694,Brussels,Belgium
interlagos,Autódromo José Carlos Pace,-23.7036,-46.6997,São Paulo,Brazil
zolder,Zolder,50.9894,5.25694,Heusden-Zolder,Belgium
anderstorp,Scandinavian Raceway,57.2653,13.6042,Anderstorp,Sweden
dijon,Dijon-Prenois,47.3625,4.89913,Dijon,France
long_beach,Long Beach,33.7651,-118.189,California,USA
fuji,Fuji Speedway,35.3717,138.927,Oyama,Japan
jacarepagua,Autódromo Internacional Nelson Piquet,-22.9756,-43.395,Rio de Janeiro,Brazil
villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada
imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Imola,Italy
las_vegas,Las Vegas Street Circuit,36.1162,-115.174,Nevada,USA
detroit,Detroit Street Circuit,42.3298,-83.0401,Detroit,USA
dallas,Fair Park,32.7774,-96.7587,Dallas,USA
estoril,Autódromo do Estoril,38.7506,-9.39417,Estoril,Portugal
adelaide,Adelaide Street Circuit,-34.9272,138.617,Adelaide,Australia
jerez,Circuito de Jerez,36.7083,-6.03417,Jerez de la Frontera,Spain
hungaroring,Hungaroring,47.5789,19.2486,Budapest,Hungary
suzuka,Suzuka Circuit,34.8431,136.541,Suzuka,Japan
phoenix,Phoenix street circuit,33.4479,-112.075,Phoenix,USA
magny_cours,Circuit de Nevers Magny-Cours,46.8642,3.16361,Magny Cours,France
catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain
donington,Donington Park,52.8306,-1.37528,Castle Donington,UK
okayama,Okayama International Circuit,34.915,134.221,Okayama,Japan
albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia
sepang,Sepang International Circuit,2.76083,101.738,Kuala Lumpur,Malaysia
bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain
shanghai,Shanghai International Circuit,31.3389,121.22,Shanghai,China
istanbul,Istanbul Park,40.9517,29.405,Istanbul,Turkey
valencia,Valencia Street Circuit,39.4589,-0.331667,Valencia,Spain
marina_bay,Marina Bay Street Circuit,1.2914,103.864,Marina Bay,Singapore
yas_marina,Yas Marina Circuit,24.4672,54.6031,Abu Dhabi,UAE
yeongam,Korean International Circuit,34.7333,126.417,Yeongam County,Korea
buddh,Buddh International Circuit,28.3487,77.5331,Uttar Pradesh,India
americas,Circuit of the Americas,30.1328,-97.6411,Austin,USA
sochi,Sochi Autodrom,43.4057,39.9578,Sochi,Russia
baku,Baku City Circuit,40.3725,49.8533,Baku,Azerbaijan
mugello,Autodromo Internazionale del Mugello,43.9975,11.3719,Mugello,Italy
portimao,Autódromo Internacional do Algarve,37.227,-8.6267,Portimão,Portugal
losail,Losail International Circuit,25.49,51.4542,Al Daayen,Qatar
jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia
miami,Miami International Autodrome,25.9581,-80.2389,Miami,USA
vegas,Las Vegas Strip Street Circuit,36.1147,-115.173,Las Vegas,USA
